N/A,Pinyin,Definition,Radical,stroke_count,hsk_level,id_in_standard_specification,frequency_rank,converted_pinyin,raw_pinyin
弯,wān,bend/curve,弓,9,5,1616,1662.0,wan1,wan
雾,wù,fog/mist/vapor/fine spray,雨,13,5,2886,1670.0,wu4,wu
屈,qū,bend/flex/bent/crooked/crouch,尸,8,5,1311,1684.0,qu1,qu
蛇,shé,snake,虫,11,5,2280,1689.0,she2,she
鼠,shǔ,rat/mouse/KangXi radical 208,鼠,13,5,2958,1693.0,shu3,shu
吨,dūn,metric ton/(Cant.) to babble/gibberish,口,7,5,730,1700.0,dun1,dun
池,chí,pool/pond/moat/cistern,水,6,5,540,1709.0,chi2,chi
冠,guān,cap/crown/headgear,冖,9,5,1705,1713.0,guan1,guan
尘,chén,dust/dirt/ashes/cinders,小,6,5,414,1718.0,chen2,chen
浅,qiǎn,shallow/not deep/superficial,水,8,5,1240,1721.0,qian3,qian
喷,pēn,spurt/blow out/puff out,口,12,5,2618,1729.0,pen1,pen
凌,líng,pure/virtuous/insult/maltreat,冫,10,5,2014,1731.0,ling2,ling
赔,péi,indemnify/suffer loss,貝,12,5,2654,1734.0,pei2,pei
涂,tú,surname/name of certain rivers,水,10,5,2075,1735.0,tu2,tu
亏,kuī,lose/fail/damage/deficient,二,3,5,25,1738.0,yu2,yu
寂,jì,still/silent/quiet/desolate,宀,11,5,2454,1739.0,ji4,ji
煤,méi,coal/coke/charcoal/carbon,火,13,5,3003,1740.0,mei2,mei
恭,gōng,respectful/polite/reverent,心,10,5,1820,1742.0,gong1,gong
湿,shī,wet/moist/humid/damp/illness,水,12,5,2756,1743.0,shi1,shi
秩,zhì,order/orderly/salary/decade,禾,10,5,1947,1749.0,zhi4,zhi
宿,sù,stop/rest/lodge/stay overnight/constellation,宀,11,5,2455,1752.0,su4,su
烂,làn,rotten/spoiled/decayed,火,9,5,1660,1754.0,lan4,lan
抖,dǒu,tremble/shake/rouse/give shake,手,7,5,648,1757.0,dou3,dou
夹,jiā,be wedged or inserted between,一,6,5,402,1758.0,jia1,jia
昆,kūn,elder brother/descendants,日,8,5,1080,1759.0,kun1,kun
猪,zhū,pig/hog/wild boar,犬,11,5,2365,1762.0,zhu1,zhu
慎,shèn,act with care/be cautious,心,13,5,3023,1765.0,shen4,shen
玻,bō,glass,玉,9,5,1361,1769.0,bo1,bo
齿,chǐ,teeth/gears/cogs/age/simplified form of the KangXi radical number 211,齒,8,5,1068,1773.0,chi3,chi
押,yā,mortgage/pledge/deposit/to pawn/to arrest/detain/guard,手,8,5,965,1775.0,ya1,ya
漠,mò,desert/aloof/indifferent/cool,水,13,5,3006,1777.0,mo4,mo
疲,pí,feel tired/be exhausted/weak,疒,10,5,2032,1778.0,pi2,pi
醉,zuì,intoxicated/drunk/addicted to,酉,15,5,3224,1783.0,zui4,zui
拳,quán,fist/various forms of boxing,手,10,5,2052,1784.0,quan2,quan
斜,xié,slanting/sloping/inclined,斗,11,5,2347,1786.0,xie2,xie
档,dàng,shelf/frame/crosspiece,木,10,5,1838,1787.0,dang3,dang
豆,dòu,beans/peas/bean-shaped,豆,7,5,696,1793.0,dou4,dou
涨,zhǎng,rise in price,水,10,5,2086,1803.0,zhang3,zhang
拼,pīn,join together/link/incorporate,手,9,5,1393,1820.0,pin1,pin
歇,xiē,rest/stop/lodge,欠,13,5,2908,1828.0,xie1,xie
桃,táo,peach/marriage/surname,木,10,5,1844,1839.0,tao2,tao
嘉,jiā,excellent/joyful/auspicious,口,14,5,3056,1845.0,jia1,jia
俊,jùn,talented/capable/handsome,人,9,5,1578,1847.0,jun4,jun
乙,yǐ,second/2nd heavenly stem,乙,1,5,2,1872.0,yi3,yi
妨,fáng,interfere with/impede/obstruct,女,7,5,922,1873.0,fang2,fang
挣,zhēng,strive/endeavor/struggle,手,9,5,1391,1875.0,zheng1,zheng
览,lǎn,look at/inspect/perceive,見,9,5,1472,1886.0,lan3,lan
璃,lí,glass,玉,14,5,3051,1894.0,li2,li
滴,dī,drip/drop of water,水,14,5,3165,1896.0,di1,di
姿,zī,,女,9,5,1630,1899.0,zi1,zi
丑,chǒu,clown/comedian/2nd terrestrial branch,一,4,5,177,1901.0,chou3,chou
劣,liè,bad/inferior/slightly,力,6,5,416,1902.0,lie4,lie
匹,pǐ,bolt of cloth/counter for horses,匸,4,5,99,1908.0,pi3,pi
俱,jù,all/together/accompany,人,10,5,1962,1909.0,ju4,ju
蜂,fēng,bee/wasp/hornet,虫,13,5,2925,1912.0,feng1,feng
糟,zāo,sediment/dregs/pickle,米,17,5,3428,1918.0,zao1,zao
谨,jǐn,prudent/cautious/attentive,言,13,5,3030,1917.0,jin3,jin
苗,miáo,sprouts/Miao nationality,艸,8,5,1005,1920.0,miao2,miao
肠,cháng,intestines/emotions/sausage,肉,7,5,807,1921.0,chang2,chang
挡,dǎng,obstruct/impede/stop/resist,手,9,5,1379,1933.0,dang3,dang
纲,gāng,heavy rope/hawser/main points,糸,7,5,933,1934.0,gang1,gang
肌,jī,muscle tissue/meat on bones,肉,6,5,495,1935.0,ji1,ji
膀,bǎng,upper arm/shoulder/wing,肉,14,5,3134,1941.0,bang3,bang
卧,wò,lie down/crouch,臣,8,5,1037,1944.0,wo4,wo
欠,qiàn,owe/lack/be deficient/KangXi radical number 76,欠,4,5,153,1948.0,qian4,qian
夸,kuā,extravagant/luxurious/handsome,大,6,5,395,1955.0,kua1,kua
豫,yù,relaxed/comfortable/at ease,豕,15,5,3313,1956.0,yu4,yu
胃,wèi,stomach/gizzard of fowl,肉,9,5,1494,1957.0,wei4,wei
睁,zhēng,open eyes/stare,目,11,5,2261,1963.0,zheng1,zheng
铃,líng,bell,金,10,5,1933,1969.0,ling2,ling
吻,wěn,kiss/the lips/coinciding,口,7,5,743,1973.0,wen3,wen
脆,cuì,crisp/fragile/frail/brittle,肉,10,5,1994,1976.0,cui4,cui
柴,chái,firewood/faggots/fuel,木,10,5,1880,1981.0,chai2,chai
绳,shéng,rope/string/cord/control,糸,11,5,2491,1983.0,sheng2,sheng
眠,mián,close eyes/sleep/hibernate,目,10,5,1888,1986.0,mian2,mian
傻,shǎ,foolish/silly/stupid/an imbecile,人,13,5,2960,1989.0,sha3,sha
扇,shàn,fan/door panel,戶,10,5,2113,1993.0,shan4,shan
柜,guì,cabinet/cupboard/shop counter,木,8,5,1022,1994.0,gui4,ju
拦,lán,obstruct/impede/bar/hinder,手,8,5,982,1996.0,lan2,lan
夕,xī,evening/night/dusk/slanted,夕,3,5,46,2003.0,xi1,xi
姻,yīn,relatives by marriage,女,9,5,1738,2007.0,yin1,yin
氛,fēn,gas/vapor/air,气,8,5,1124,2009.0,fen1,fen
蜜,mì,honey/sweet/nectar,虫,14,5,3175,2014.0,mi4,mi
摘,zhāi,pluck/pick/select/specify,手,14,5,3062,2026.0,zhai1,zhai
披,pī,wear/split/crack,手,8,5,990,2032.0,pi1,pi
辅,fǔ,cheek bone/protective/assist,車,11,5,2250,2033.0,fu3,fu
盆,pén,basin/tub/pot/bowl,皿,9,5,1590,2035.0,pen2,pen
吵,chǎo,argue/dispute/disturb/annoy,口,7,5,735,2040.0,chao3,chao
嗯,ń,final particle,口,13,5,5467,2042.0,嗯,ng
骤,zhòu,procedure/gallop/sudden(ly),馬,17,5,3436,2045.0,zou4,zou
漏,lòu,leak/drip/funnel/hour glass,水,14,5,3168,2052.0,lou4,lou
悠,yōu,long/far/remote/distant/liesurely,心,11,5,2326,2055.0,you1,you
滩,tān,bank/a sandbar/shoal/rapids,水,13,5,3022,2062.0,tan1,tan
嫁,jià,to marry/give a daughter in marriage,女,13,5,3042,2063.0,jia4,jia
催,cuī,press/urge,人,13,5,2959,2064.0,cui1,cui
翅,chì,wings/fin,羽,10,5,1859,2066.0,chi4,chi
锅,guō,cooking-pot/saucepan,金,12,5,2662,2074.0,guo1,guo
拆,chāi,to break up/split apart/rip open/to destroy,手,8,5,972,2076.0,chai1,chai
棋,qí,chess/any game similar to chess,木,12,5,2564,2089.0,qi2,qi
唉,āi,alas/exclamation of surprise or pain,口,10,5,1916,2091.0,ai1,ai
孕,yùn,be pregnant/pregnancy,子,5,5,338,2094.0,yun4,yun
链,liàn,chain/wire/cable/chain/shack,金,12,5,2658,2099.0,lian4,lian
艳,yàn,beautiful/sexy/voluptuous,色,10,5,1770,2104.0,yan4,yan
臭,chòu,smell/stink/emit foul odor,自,10,5,1970,2105.0,chou4,chou
趁,chèn,take advantage of/avail oneself,走,12,5,2515,2109.0,chen4,chen
愁,chóu,anxiety/to worry about/be anxious,心,13,5,2951,2113.0,chou2,chou
孝,xiào,filial piety/obedience/mourning,子,7,5,638,2116.0,xiao4,xiao
冻,dòng,freeze/cold/congeal/jelly,冫,7,5,827,2127.0,dong4,dong
闯,chuǎng,rush in/burst in/charge in,門,6,5,529,2129.0,chuang3,chuang
宴,yàn,to entertain/feast/a feast/banquet,宀,10,5,2101,2155.0,yan4,yan
矩,jǔ,,矢,9,5,1540,2160.0,ju3,ju
胶,jiāo,glue/gum/resin/rubber/sound/shin bone,肉,10,5,2000,2170.0,xiao2,xiao
盼,pàn,look/gaze/expect/hope for,目,9,5,1480,2174.0,pan4,pan
脖,bó,neck,肉,11,5,2356,2175.0,bo2,bo
虹,hóng,rainbow,虫,9,5,1497,2176.0,hong2,hong
账,zhàng,accounts/bill/debt/credit,貝,8,5,1114,2179.0,zhang4,zhang
倡,chàng,guide/leader/lead/introduce,人,10,5,1963,2185.0,chang4,chang
猴,hóu,monkey/ape/monkey-like,犬,12,5,2721,2187.0,hou2,hou
寓,yù,residence/lodge/dwell,宀,12,5,2782,2199.0,yu4,yu
狮,shī,lion,犬,9,5,1601,2211.0,shi1,shi
抄,chāo,copy/confiscate/seize,手,7,5,626,2213.0,chao1,chao
晕,yūn,halo in sky/fog/dizzy/faint,日,10,5,1897,2215.0,yun1,yun
砍,kǎn,hack/chop/cut/fell,石,9,5,1454,2217.0,kan3,kan
剪,jiǎn,scissors/cut/divide/separate,刀,11,5,2406,2227.0,jian3,jian
叉,chā,crotch/fork/prong,又,3,5,71,2231.0,cha1,cha
拐,guǎi,kidnap/abduct/turn,手,8,5,967,2232.0,guai3,guai
捐,juān,contribute/give up/renounce,手,10,5,1797,2235.0,juan1,juan
歪,wāi,slant/inclined/askewd/awry,止,9,5,1445,2239.0,wai1,wai
粘,zhān,viscous/mucous/glutinous,米,11,5,2402,2240.0,nian2,nian
陌,mò,foot path between rice fields,阜,8,5,1318,2243.0,mo4,mo
窄,zhǎi,narrow/tight/narrow-minded,穴,10,5,2104,2244.0,zhai3,zhai
鞭,biān,whip/whip/string of firecrackers,革,18,5,3438,2250.0,bian1,bian
厘,lí,thousandth part of tael,厂,9,5,1448,2262.0,li2,li
厦,shà,big building/mansion,厂,12,5,2588,2264.0,sha4,sha
恳,kěn,sincere/earnest/cordial,心,10,5,2130,2265.0,ken3,ken
憾,hàn,to regret/remorse/dissatisfied,心,16,5,3381,2269.0,han4,han
摔,shuāi,fall ground/stumble/trip,手,14,5,3063,2270.0,shuai1,shuai
愧,kuì,ashamed/conscience-stricken,心,12,5,2776,2275.0,kui4,kui
洒,sǎ,sprinkle/scatter/pour/to wipe away/to shiver,水,9,5,1665,2283.0,sa3,sa
哎,āi,interjection of surprise,口,8,5,1082,2294.0,ai1,ai
钓,diào,fish/fishhook/tempt/lure,金,8,5,1120,2305.0,diao4,diao
蝶,dié,butterfly,虫,15,5,3245,2306.0,die2,die
讽,fěng,recite/incant/satirize,言,6,5,559,2322.0,feng1,feng
旬,xún,ten-day period/period of time,日,6,5,500,2332.0,xun2,xun
撕,sī,rip/tear/buy cloth,手,15,5,3191,2334.0,si1,si
谦,qiān,humble/modest,言,12,5,2798,2345.0,qian1,qian
兔,tù,rabbit/hare,儿,8,5,1195,2364.0,tu4,tu
荐,jiàn,repeat/reoccur/recommend,艸,9,5,1405,2367.0,jian4,jian
炭,tàn,charcoal/coal/carbon,火,9,5,1517,2369.0,tan4,tan
舅,jiù,,臼,13,5,2957,2375.0,jiu4,jiu
裹,guǒ,wrap/bind/encircle/confine,衣,14,5,3139,2387.0,guo3,guo
瞎,xiā,blind/reckless/rash,目,15,5,3235,2395.0,xia1,xia
咨,zī,inquire/consult/discuss/plan,口,9,5,1629,2408.0,zi1,zi
宠,chǒng,favorite/concubine/favor,宀,8,5,1277,2422.0,chong3,chong
兑,duì,cash/exchange,儿,7,5,850,2424.0,dui4,dui
霉,méi,mildew/mold/moldy/mildewed,雨,15,5,3231,2425.0,mei2,mei
塘,táng,pond/tank/dike/embankment,土,13,5,2843,2436.0,tang2,tang
帘,lián,flag-sign of a tavern,巾,8,5,1283,2458.0,lian2,lian
厢,xiāng,side-room/wing/theatre box,厂,11,5,2238,2467.0,xiang1,xiang
乖,guāi,rebel/crafty/shrewd,丿,8,5,1128,2470.0,guai1,guai
娱,yú,pleasure/enjoyment/amusement,女,10,5,2140,2493.0,yu2,yu
娶,qǔ,marry/take wife,女,11,5,2197,2494.0,qu3,qu
嗓,sǎng,voice/throat,口,13,5,2929,2496.0,sang3,sang
蹲,dūn,squat/crouch/idle about,足,19,5,3458,2497.0,dun1,dun
淘,táo,wash in sieve/weed out,水,11,5,2426,2499.0,tao2,tao
嫩,nèn,soft/tender/delicate/young,女,14,5,3183,2500.0,nen4,nen
壶,hú,jar/pot/jug/vase/surname,士,10,5,1812,2518.0,hu2,hu
傍,bàng,by side of/beside/near/close,人,12,5,2696,2558.0,bang4,bang
勿,wù,must not/do not/without/never,勹,4,5,152,2563.0,wu4,wu
踩,cǎi,step on,足,15,5,3243,2570.0,cai3,cai
煮,zhǔ,cook,火,12,5,2529,2582.0,zhu3,zhu
逗,dòu,tempt/allure/arouse/stir,辵,10,5,1854,2587.0,dou4,dou
炒,chǎo,fry/saute/roast/boil/cook,火,8,5,1234,2590.0,chao3,chao
寞,mò,silent/still/lonely/solitary,宀,13,5,3026,2601.0,mo4,mo
甩,shuǎi,throw away/discard,用,5,5,284,2603.0,shuai3,shuai
燥,zào,dry/parched/arid/quick-tempered,火,17,5,3430,2613.0,zao4,zao
晒,shài,dry in sun/expose to sun,日,10,5,1887,2630.0,shai4,shai
屿,yǔ,island,山,6,5,434,2636.0,yu3,yu
绸,chóu,silk cloth/satin damask,糸,11,5,2495,2635.0,chou2,chou
痒,yǎng,itch,疒,11,5,2382,2646.0,yang3,yang
耽,dān,indulge in/be negligent,耳,10,5,1818,2658.0,dan1,dan
魅,mèi,kind of forest demon/elf,鬼,14,5,3130,2662.0,mei4,mei
狡,jiǎo,cunning/deceitful/treacherous,犬,9,5,1604,2670.0,jiao3,jiao
匀,yún,equal,勹,4,5,156,2692.0,yun2,yun
熬,áo,cook down/to boil/endure,火,14,5,3053,2705.0,ao2,ao
毯,tǎn,rug/carpet/blanket,毛,12,5,2672,2711.0,tan3,tan
梳,shū,comb/brush,木,11,5,2228,2717.0,shu1,shu
蔬,shū,vegetables/greens,艸,15,5,3211,2721.0,shu1,shu
捡,jiǎn,to pick up,手,10,5,1804,2753.0,jian3,jian
删,shān,to cut/delete,刀,7,5,815,2780.0,shan1,shan
浏,liú,clear/bright/whistling,水,9,5,1677,2841.0,liu2,liu
裔,yì,progeny/descendants/posterity,衣,13,5,5548,2842.0,yi4,yi
浇,jiāo,spray/water/sprinkle,水,9,5,1667,2866.0,jiao1,jiao
姥,lǎo,maternal grandmother/midwife,女,9,5,1736,2874.0,mu3,mu
烫,tàng,scald/heat/wash/iron clothes,火,10,5,2087,2903.0,tang4,tang
惭,cán,ashamed/humiliated/shameful,心,11,5,2440,2943.0,can2,can
蝴,hú,butterfly,虫,15,5,3246,2964.0,hu2,hu
梨,lí,pear/opera/cut/slash,木,11,5,2313,3004.0,li2,li
醋,cù,vinegar/jealousy/envy,酉,15,5,3222,3076.0,cu4,cu
猾,huá,crafty/cunning/shrewd/deceitful,犬,12,5,2720,3083.0,hua2,hua
皂,zào,soap/black/menial servant,白,7,5,787,3087.0,zao4,zao
酱,jiàng,any jam-like or paste-like food,酉,13,5,2986,3100.0,jiang4,jiang
糙,cāo,coarse/harsh/rough/unpolished rice,米,16,5,3373,3118.0,cao1,cao
屉,tì,drawer/tray/pad/screen,尸,8,5,1307,3127.0,ti4,ti
髦,máo,flowing hair of young child,髟,14,5,5630,3149.0,mao2,mao
椒,jiāo,pepper/spices,木,12,5,2570,3187.0,jiao1,jiao
桔,jú,Chinese bellflower/well-swept/the inner fibers of corn-stalks,木,10,5,1836,3304.0,jie2,jie
馒,mán,steamed bread/steamed dumplings,食,14,5,3138,3628.0,man2,man
嚏,tì,sneeze,口,17,5,6225,3897.0,ti4,ti
斯,sī,this/thus/such/to lop off/emphatic particle,斤,12,6,2541,168.0,si1,si
党,dǎng,political party/gang/faction,儿,10,6,1885,411.0,dang3,dang
陈,chén,exhibit/display/plead/a surname,阜,7,6,914,525.0,chen2,chen
攻,gōng,attack/assault/criticize,攴,7,6,630,588.0,gong1,gong
苏,sū,,艸,7,6,677,590.0,su1,su
帝,dì,supreme ruler/emperor/god,巾,9,6,1633,612.0,di4,di
若,ruò,if/supposing/assuming/similar,艸,8,6,1002,651.0,ruo4,ruo
波,bō,waves/breakers/undulations,水,8,6,1261,664.0,bo1,bo
异,yì,different/unusual/strange,廾,6,6,568,709.0,yi4,yi
策,cè,scheme/plan/to whip/urge,竹,12,6,2683,714.0,ce4,ce
罪,zuì,crime/sin/vice/evil/hardship,网,13,6,2932,718.0,zui4,zui
州,zhōu,administrative division/state,巛,6,6,535,721.0,zhou1,zhou
宗,zōng,lineage/ancestry/ancestor/clan,宀,8,6,1275,727.0,zong1,zong
协,xié,be united/cooperate,十,6,6,383,735.0,xie2,xie
审,shěn,examine/investigate/judge,宀,8,6,1279,746.0,shen3,shen
皇,huáng,royal/imperial/ruler/superior,白,9,6,1571,759.0,huang2,huang
副,fù,assist/supplement/assistant,刀,11,6,2234,764.0,fu4,fu
抗,kàng,resist/oppose/defy/reject,手,7,6,646,766.0,kang4,kang
犯,fàn,commit crime/violate/criminal,犬,5,6,292,767.0,fan4,fan
田,tián,field/arable land/cultivated,田,5,6,244,778.0,tian2,tian
央,yāng,center/conclude/run out/beg,大,5,6,249,800.0,yang1,yang
伯,bó,,人,7,6,778,821.0,bo2,bo
监,jiān,supervise/control/direct,皿,10,6,1883,838.0,jian1,jian
露,lù,dew/bare/open/exposed,雨,21,6,3490,841.0,lu4,lu
野,yě,open country/field/wilderness,里,11,6,2265,845.0,ye3,ye
舰,jiàn,warship,舟,10,6,1978,851.0,jian4,jian
湾,wān,bay/cove/inlet/bend of stream,水,12,6,2764,855.0,wan1,wan
吉,jí,lucky/propitious/good,口,6,6,356,856.0,ji2,ji
剑,jiàn,sword/dagger/saber,刀,9,6,1587,869.0,jian4,jian
亦,yì,also/too/likewise,亠,6,6,516,886.0,yi4,yi
恩,ēn,kindness/mercy/charity,心,10,6,1909,888.0,en1,en
鲁,lǔ,foolish/stupid/rash/vulgar,魚,12,6,2717,898.0,lu3,lu
端,duān,end/extreme/head/beginning,立,14,6,3151,916.0,duan1,duan
探,tàn,find/locate/search/grope for,手,11,6,2188,917.0,tan4,tan
湖,hú,a lake/Hubei/Hunan/bluish-green,水,12,6,2751,918.0,hu2,hu
予,yǔ,I/me/to give,亅,4,6,184,925.0,yu2,yu
港,gǎng,port/harbor/small stream/bay,水,12,6,2749,927.0,gang3,gang
额,é,forehead/tablet/plaque/fixed,頁,15,6,3304,936.0,e2,e
督,dū,supervise/oversee/direct,目,13,6,2891,946.0,du1,du
泽,zé,marsh/swamp/grace/brilliance,水,8,6,1263,951.0,ze2,ze
灭,miè,extinguish/wipe out/exterminate,火,5,6,223,953.0,mie4,mie
莫,mò,do not/is not/can not/negative,艸,10,6,1824,955.0,mo4,mo
亡,wáng,death/destroyed/lose/perish,亠,3,6,54,957.0,wang2,wang
圣,shèng,holy/sacred,土,5,6,340,960.0,sheng4,sheng
诺,nuò,promise/assent/approve,言,10,6,2111,969.0,nuo4,nuo
伦,lún,normal human relationships,人,6,6,470,970.0,lun2,lun
奥,ào,mysterious/obscure/profound,大,12,6,2701,972.0,ao4,ao
唐,táng,Tang dynasty/Chinese,口,10,6,2037,973.0,tang2,tang
堂,táng,hall/government office,土,11,6,2256,980.0,tang2,tang
宫,gōng,palace,宀,9,6,1698,982.0,gong1,gong
君,jūn,sovereign/monarch/ruler/chief/prince,口,7,6,899,985.0,jun1,jun
谋,móu,plan/scheme/strategem,言,11,6,2459,989.0,mou2,mou
镇,zhèn,town/market place/suppress,金,15,6,3256,1002.0,zhen4,zhen
凡,fán,all/any/every/ordinary/common,几,3,6,50,1013.0,fan2,fan
诸,zhū,various/all/these/surname,言,10,6,2110,1021.0,zhu1,zhu
庄,zhuāng,village/hamlet/villa/manor,广,6,6,514,1024.0,zhuang1,zhuang
祖,zǔ,ancestor/forefather/grandfather,示,9,6,1710,1025.0,zu3,zu
暴,bào,violent/brutal/tyrannical,日,15,6,3234,1028.0,bao4,bao
塔,tǎ,tower/spire/tall building,土,12,6,2510,1030.0,ta3,ta
隐,yǐn,hide/conceal/hidden/secret,阜,11,6,2480,1034.0,yin3,yin
蒙,méng,cover/ignorant/suffer/mongolia,艸,13,6,2859,1039.0,meng2,meng
欲,yù,desire/want/long for/intend,欠,11,6,2352,1045.0,yu4,yu
遭,zāo,come across/meet with/encounter,辵,14,6,3085,1048.0,zao1,zao
徒,tú,disciple/follower/go on foot,彳,10,6,1975,1060.0,tu2,tu
姆,mǔ,,女,8,6,1330,1061.0,mu3,mu
曲,qū,crooked/bent/wrong/false,曰,6,6,424,1066.0,qu1,qu
塞,sāi,stop up/block/seal/cork/pass/frontier/fortress,土,13,6,3025,1080.0,sai1,sai
侵,qīn,invade/encroach upon/raid,人,9,6,1574,1086.0,qin1,qin
刑,xíng,punishment/penalty/law,刀,6,6,351,1087.0,xing2,xing
谷,gǔ,valley/gorge/ravine,谷,7,6,798,1095.0,gu3,gu
川,chuān,stream/river/flow/boil,巛,3,6,43,1109.0,chuan1,chuan
潜,qián,hide/hidden/secret/latent,水,15,6,3290,1112.0,qian2,qian
抵,dǐ,resist/oppose/deny/off-set,手,8,6,975,1119.0,di3,di
杰,jié,hero/heroic/outstanding,木,8,6,1031,1129.0,jie2,jie
郑,zhèng,,邑,8,6,1229,1132.0,zheng4,zheng
混,hùn,to mix/blend/mingle/to bumble along,水,11,6,2420,1137.0,hun4,hun
臣,chén,minister/statesman/official,臣,6,6,380,1138.0,chen2,chen
雅,yǎ,elegant/graceful/refined,隹,12,6,2600,1139.0,ya3,ya
盛,shèng,abundant/flourishing/contain/fill,皿,11,6,2247,1142.0,sheng4,sheng
怒,nù,anger/rage/passion/angry,心,9,6,1742,1143.0,nu4,nu
残,cán,injure/spoil/oppress/broken,歹,9,6,1460,1150.0,can2,can
宇,yǔ,house/building/structure/eaves,宀,6,6,545,1156.0,yu3,yu
猛,měng,violent/savage/cruel/bold,犬,11,6,2370,1157.0,meng3,meng
毁,huǐ,destroy,殳,13,6,2956,1160.0,hui3,hui
盟,méng,swear/oath/covenant/alliance,皿,13,6,2907,1163.0,meng2,meng
丁,dīng,male adult/robust/vigorous/4th heavenly stem,一,2,6,5,1168.0,ding1,ding
魔,mó,demon/evil spirits/magic power,鬼,20,6,3484,1180.0,mo2,mo
沿,yán,follow a course/go along,水,8,6,1250,1182.0,yan2,yan
啦,la,final particle of assertion,口,11,6,2267,1194.0,la5,la
瓦,wǎ,tile/earthenware pottery/girl,瓦,4,6,108,1195.0,wa3,wa
援,yuán,aid/assist/lead/cite,手,12,6,2530,1197.0,yuan2,yuan
夺,duó,take by force/rob/snatch,大,6,6,396,1199.0,duo2,duo
偏,piān,inclined one side/slanting,人,11,6,2334,1204.0,pian1,pian
袭,xí,raid/attack/inherit,龍,11,6,2246,1213.0,xi2,xi
侠,xiá,chivalrous person/knight-errant,人,8,6,1141,1216.0,xia2,xia
侧,cè,side/incline/slant/lean,人,8,6,1147,1220.0,ce4,ce
债,zhài,debt/loan/liabilities,人,10,6,1954,1223.0,zhai4,zhai
融,róng,melt/fuse/blend/harmonize,虫,16,6,3334,1225.0,rong2,rong
纵,zòng,indulge in/give free reign to,糸,7,6,936,1236.0,zong4,zong
障,zhàng,separate/shield/barricade,阜,13,6,3038,1237.0,zhang4,zhang
讯,xùn,inquire/ask/examine/reproach,言,5,6,322,1238.0,xun4,xun
涉,shè,ford stream/wade across,水,10,6,2070,1239.0,she4,she
刊,kān,publication/periodical/publish,刀,5,6,191,1241.0,kan1,kan
爆,bào,crackle/pop/burst/explode,火,19,6,3471,1243.0,bao4,bao
乌,wū,crow/rook/raven/black/dark,丿,4,6,157,1244.0,wu1,wu
役,yì,service/a servant/laborer/to serve,彳,7,6,793,1245.0,yi4,yi
患,huàn,suffer/worry about/suffering,心,11,6,2285,1249.0,huan4,huan
仙,xiān,Taoist super-being/transcendent/immortal,人,5,6,272,1255.0,xian1,xian
症,zhèng,disease/illness/ailment,疒,10,6,2026,1258.0,zheng4,zheng
倾,qīng,upset/pour out/overflow,人,10,6,1959,1260.0,qing1,qing
陷,xiàn,submerge/sink/plunge/trap,阜,10,6,2138,1262.0,xian4,xian
轰,hōng,rumble/explosion/blast,車,8,6,1057,1264.0,hong1,hong
撤,chè,omit/remove/withdraw,手,15,6,3203,1270.0,che4,che
疾,jí,illness/disease/sickness/to hate,疒,10,6,2028,1273.0,ji2,ji
缘,yuán,hem/margin/reason/cause/fate,糸,12,6,2824,1274.0,yuan2,yuan
杜,dù,stop/prevent/restrict/surname,木,7,6,680,1277.0,du4,du
仪,yí,ceremony/rites gifts/admire,人,5,6,274,1283.0,yi2,yi
奔,bēn,run fast/flee/rush about/run,大,8,6,1049,1285.0,ben1,ben
珠,zhū,precious stone/gem/jewel/pearl,玉,10,6,1773,1286.0,zhu1,zhu
驻,zhù,to be stationed at/reside at/to stop,馬,8,6,1345,1288.0,zhu4,zhu
孔,kǒng,opening/hole/orifice/great,子,4,6,179,1289.0,kong3,kong
翼,yì,wings/fins on fish/shelter,羽,17,6,3435,1294.0,yi4,yi
叹,tàn,sigh/admire,口,5,6,257,1299.0,tan4,tan
愈,yù,more and more/even more,心,13,6,2966,1301.0,yu4,yu
罢,bà,cease/finish/stop/give up,网,10,6,1918,1305.0,ba4,ba
径,jìng,narrow path/diameter/direct,彳,8,6,1163,1307.0,jing4,jing
恰,qià,just/exactly/precisely/proper,心,9,6,1690,1308.0,qia4,qia
捕,bǔ,arrest/catch/seize,手,10,6,1783,1312.0,bu3,bu
裂,liè,split/crack/break open/rend,衣,12,6,2595,1317.0,lie4,lie
泰,tài,great/exalted/superior/big,水,10,6,1771,1318.0,tai4,tai
尖,jiān,sharp/pointed/acute/keen,小,6,6,415,1321.0,jian1,jian
忠,zhōng,loyalty/devotion/fidelity,心,8,6,1094,1322.0,zhong1,zhong
炎,yán,flame/blaze/hot,火,8,6,1237,1324.0,yan2,yan
荒,huāng,wasteland/desert/uncultivated,艸,9,6,1412,1328.0,huang1,huang
横,héng,across,木,15,6,3213,1330.0,heng2,heng
孤,gū,orphan/fatherless/solitary,子,8,6,1319,1334.0,gu1,gu
胞,bāo,womb/placenta/fetal membrane,肉,9,6,1595,1341.0,bao1,bao
魂,hún,soul/spirit,鬼,13,6,2830,1348.0,hun2,hun
洪,hóng,vast/immense/flood/deluge,水,9,6,1664,1350.0,hong2,hong
津,jīn,ferry/saliva/ford,水,9,6,1683,1353.0,jin1,jin
晓,xiǎo,dawn/daybreak/clear/explicit,日,10,6,1889,1357.0,xiao3,xiao
仁,rén,humaneness/benevolence/kindness,人,4,6,128,1360.0,ren2,ren
贫,pín,poor/impoverished/needy,貝,8,6,1178,1359.0,pin2,pin
